"Manufacturer";"Varient";"Details";"India_Locations";"Model";"Distance_Travelled";"Fuel_Type";"Engine_Capacity";"Transmission";"Price_INR"
"Toyota";"Corolla";"XLi VVTi ";"Jaipur";"2013";"80000";"Petrol";"1300";"Manual";"2490000"
"Suzuki";"Alto";"VXR (CNG) ";"Jaipur";"2005";"288352";"Petrol";"1000";"Manual";"665000"
"Toyota";"Passo";"X ";"Jaipur";"2005";"320000";"Petrol";"1000";"Automatic";"1680000"
"Toyota";"Prado";"TX 3.0D ";"Jaipur";"1997";"160000";"Diesel";"3000";"Automatic";"4600000"
"Honda";"Civic Reborn";"VTi Oriel Prosmatec 1.8 i-VTEC ";"Jaipur";"2012";"100000";"Petrol";"1800";"Automatic";"3000000"
"Toyota";"Vitz";"F 1.0 ";"Jaipur";"2020";"58000";"Petrol";"996";"Automatic";"4200000"
"Suzuki";"Bolan";"VX Euro II ";"Jaipur";"2018";"51000";"Petrol";"800";"Manual";"1520000"
"Toyota";"Corolla";"SE Limited ";"Jaipur";"1995";"150000";"Petrol";"1500";"Manual";"1525000"
"Honda";"Civic";"EXi ";"Jaipur";"2003";"280000";"Petrol";"1500";"Manual";"1100000"
"Toyota";"Corolla";"XLi VVTi ";"Jaipur";"2011";"150000";"Petrol";"1300";"Manual";"2000000"
"Suzuki";"Cultus";"VXR ";"Jaipur";"2004";"100000";"Petrol";"1000";"Manual";"800000"
"Suzuki";"Cultus";"VX ";"Jaipur";"2003";"123456";"Petrol";"1000";"Manual";"660000"
"Changan";"Karvaan";"Plus ";"Jaipur";"2021";"30000";"Petrol";"999";"Manual";"2950000"
"Changan";"Karvaan";"Plus ";"Jaipur";"2021";"30000";"Petrol";"999";"Manual";"2950000"
"Toyota";"Vitz";"F 1.0 ";"Jaipur";"2010";"196000";"Petrol";"1000";"Automatic";"2300000"
"Toyota";"Corolla";"GLi Automatic 1.6 VVTi ";"Jaipur";"2014";"107500";"Petrol";"1600";"Automatic";"3125000"
"Suzuki";"Bolan";"VX ";"Jaipur";"2001";"800";"CNG";"800";"Manual";"680000"
"Toyota";"Vitz";"F 1.3 ";"Jaipur";"2000";"123456";"Petrol";"1300";"Automatic";"1650000"
"Honda";"N Wgn";"Custom G L Package ";"Jaipur";"2017";"39900";"Petrol";"660";"Automatic";"3350000"
"Honda";"Civic";"VTi Oriel Prosmatec 1.6 ";"Jaipur";"2004";"210000";"Petrol";"1600";"Automatic";"1500000"
"Toyota";"Yaris";"GLI CVT 1.3 ";"Jaipur";"2021";"38000";"Petrol";"1300";"Automatic";"4650000"
"Suzuki";"Mehran";"VX (CNG) ";"Jaipur";"2011";"52000";"Petrol";"800";"Manual";"980000"
"Toyota";"Corolla";"Altis Grande CVT-i 1.8 ";"Jaipur";"2020";"26500";"Petrol";"1798";"Automatic";"6675000"
"Suzuki";"Alto";"VXL AGS ";"Jaipur";"2019";"27000";"Petrol";"660";"Automatic";"2800000"
"Toyota";"Prado";"TX Limited 3.4 ";"Jaipur";"2003";"180000";"Petrol";"3400";"Automatic";"7485000"
"Toyota";"Surf";"SSR-X 3.4 ";"Jaipur";"1996";"150000";"Petrol";"3400";"Automatic";"3500000"
"Suzuki";"Alto";"VXR ";"Jaipur";"2023";"15";"Petrol";"660";"Manual";"2700000"
"Suzuki";"Cultus";"EURO II ";"Jaipur";"2015";"100000";"Petrol";"1000";"Manual";"1650000"
"Honda";"Civic";"Oriel 1.8 i-VTEC CVT ";"Jaipur";"2019";"42000";"Petrol";"1800";"Automatic";"6000000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2019";"75000";"Petrol";"1600";"Automatic";"4850000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2019";"75000";"Petrol";"1600";"Automatic";"4850000"
"Honda";"Civic";"VTi 1.6 ";"Jaipur";"1997";"224000";"Petrol";"1600";"Manual";"1000000"
"Suzuki";"Mehran";"VXR Euro II ";"Jaipur";"2019";"21800";"Petrol";"796";"Manual";"1580000"
"Suzuki";"Swift";"DLX 1.3 ";"Jaipur";"2014";"130700";"Petrol";"1300";"Manual";"2200000"
